id,name,city,state,category,lat,lng,address,website,dog_friendly_notes,featured
san-elijo-lagoon-nature-center-loop-encinitas,San Elijo Lagoon Nature Center Loop,Encinitas,CA,Trail,33.015800,-117.260000,"2710 Manchester Ave, Cardiff, CA 92007",https://www.sdparks.org/content/sdparks/en/park-pages/SanElijo.html,Leashed dogs are allowed on designated trails; sensitive habitat rules apply.,false
stone-brewing-world-bistro-and-gardens-escondido-escondido,Stone Brewing World Bistro & Gardens Escondido,Escondido,CA,Brewery,33.115200,-117.119600,"1999 Citracado Pkwy, Escondido, CA 92029",https://www.stonebrewing.com/visit/bistros/escondido,Dog-friendly outdoor garden area.,true
elfin-forest-recreational-reserve-escondido,Elfin Forest Recreational Reserve,Escondido,CA,Trail,33.087200,-117.150600,"8833 Harmony Grove Rd, Escondido, CA 92029",https://www.olivenhain.com/recreational-opportunities/elfin-forest-recreational-reserve/,Leashed dogs are allowed on designated trails.,true
live-oak-county-park-fallbrook,Live Oak County Park,Fallbrook,CA,Dog Park,33.374700,-117.238800,"2746 Reche Rd, Fallbrook, CA 92028",https://www.sdparks.org/content/sdparks/en/park-pages/LiveOak.html/,Leash-free area with posted rules and day-use fee.,false
monserate-mountain-preserve-fallbrook,Monserate Mountain Preserve,Fallbrook,CA,Trail,33.352700,-117.227700,"243 Horse Ranch Creek Rd, Fallbrook, CA 92028",https://www.sdparks.org/,Leashed dogs are allowed; exposed climb can be hot.,false
santa-margarita-river-trail-fallbrook,Santa Margarita River Trail,Fallbrook,CA,Trail,33.385600,-117.260900,"Sandia Creek Dr, Fallbrook, CA 92028",,Leashed riverside trail with water views; verify seasonal access.,true
mile-square-regional-park-fountain-valley,Mile Square Regional Park,Fountain Valley,CA,Park,33.724300,-117.946600,"16801 Euclid St, Fountain Valley, CA 92708",https://www.ocparks.com/parks-trails/mile-square-regional-park,Leashed dogs are allowed in park areas; check event restrictions.,false
fullerton-pooch-park-fullerton,Fullerton Pooch Park,Fullerton,CA,Dog Park,33.868600,-117.905900,"201 S Basque Ave, Fullerton, CA 92833",https://www.cityoffullerton.com/,Off-leash dog park with separate small and large dog areas.,true
huntington-dog-beach-huntington-beach,Huntington Dog Beach,Huntington Beach,CA,Beach,33.671800,-118.021000,"100 Goldenwest St, Huntington Beach, CA 92648",https://www.dogbeach.org,Leash-optional dog beach; leash required in parking lot and on upper bluff.,true
four-sons-brewing-huntington-beach,Four Sons Brewing,Huntington Beach,CA,Brewery,33.686300,-118.003700,"18421 Gothard St, Huntington Beach, CA 92648",https://www.foursonsbrewing.com/,Dog-friendly brewery seating is commonly reported.,false
riip-beer-company-huntington-beach,Riip Beer Company,Huntington Beach,CA,Brewery,33.718100,-118.065900,"17214 Pacific Coast Hwy, Huntington Beach, CA 92649",https://www.riipbeer.com/,Dog-friendly brewery seating is commonly reported.,false
best-friend-dog-park-huntington-beach,Best Friend Dog Park,Huntington Beach,CA,Dog Park,33.697700,-118.002900,"7111 Talbert Ave, Huntington Beach, CA 92648",https://www.huntingtonbeachca.gov/,Off-leash dog park in Huntington Central Park with separate areas.,true
huntington-central-park-huntington-beach,Huntington Central Park,Huntington Beach,CA,Park,33.701300,-118.002600,"18002 Goldenwest St, Huntington Beach, CA 92648",https://www.huntingtonbeachca.gov/,Leashed dogs are allowed in park areas; dog park is nearby.,true
pacific-city-huntington-beach,Pacific City,Huntington Beach,CA,Patio,33.654600,-118.001400,"21010 Pacific Coast Hwy, Huntington Beach, CA 92648",https://www.gopacificcity.com/,Outdoor shopping and dining center with dog-friendly common areas.,true
park-bench-cafe-huntington-beach,Park Bench Cafe,Huntington Beach,CA,Restaurant,33.701900,-118.003300,"17732 Goldenwest St, Huntington Beach, CA 92647",https://www.parkbenchcafe.com/,Dog-friendly patio and dog menu are commonly reported.,true
mike-hess-brewing-imperial-beach-imperial-beach,Mike Hess Brewing Imperial Beach,Imperial Beach,CA,Brewery,32.579000,-117.131500,"805 Ocean Ln, Imperial Beach, CA 91932",https://www.mikehessbrewing.com,Beachside beer garden described as dog-friendly.,false
imperial-beach-pier-plaza-imperial-beach,Imperial Beach Pier Plaza,Imperial Beach,CA,Scenic Spot,32.579000,-117.132200,"10 Evergreen Ave, Imperial Beach, CA 91932",https://www.imperialbeachca.gov/,Leashed dogs are allowed in many public areas; verify beach restrictions.,false
central-bark-irvine,Central Bark,Irvine,CA,Dog Park,33.671300,-117.759200,"6405 Oak Canyon, Irvine, CA 92618",https://www.cityofirvine.org/parks-facilities/central-bark/,Off-leash dog park listed by Orange County Animal Care.,true
mason-regional-park-irvine,Mason Regional Park,Irvine,CA,Park,33.653600,-117.828600,"18712 University Dr, Irvine, CA 92612",https://www.ocparks.com/parks-trails/mason-regional-park,Leashed dogs are allowed in park areas.,false
irvine-spectrum-center-irvine,Irvine Spectrum Center,Irvine,CA,Patio,33.650500,-117.742800,"670 Spectrum Center Dr, Irvine, CA 92618",https://www.irvinespectrumcenter.com/,Outdoor center with dog-friendly common areas; store policies vary.,true
cha-cha-s-latin-kitchen-irvine,Cha Cha's Latin Kitchen,Irvine,CA,Restaurant,33.652600,-117.745600,"13126 Jamboree Rd, Irvine, CA 92602",https://chachaslatinkitchen.com/irvine,Dog-friendly patio noted by Visit California.,false
lazy-dog-restaurant-irvine-irvine,Lazy Dog Restaurant Irvine,Irvine,CA,Restaurant,33.677100,-117.856900,"13290 Jamboree Rd, Irvine, CA 92602",https://www.lazydogrestaurants.com/,Dog-friendly patio seating at many locations; verify current patio rules.,false
hicks-canyon-trail-irvine,Hicks Canyon Trail,Irvine,CA,Trail,33.722800,-117.766900,"Hicks Canyon Trail, Irvine, CA 92620",https://www.cityofirvine.org/,Leashed multi-use neighborhood trail.,false
peters-canyon-trail-irvine,Peters Canyon Trail,Irvine,CA,Trail,33.715300,-117.767100,"Peters Canyon Trail, Irvine, CA 92620",https://www.cityofirvine.org/,Leashed multi-use trail connection in Irvine.,false
shady-canyon-trail-irvine,Shady Canyon Trail,Irvine,CA,Trail,33.626300,-117.773400,"Shady Canyon Trail, Irvine, CA 92603",https://www.cityofirvine.org/,Leashed multi-use trail; verify current access points.,false
agua-caliente-county-park-julian,Agua Caliente County Park,Julian,CA,Campground,32.954000,-116.303000,"39555 Great Southern Overland Stage Route, Julian, CA 92036",https://www.sdparks.org/content/sdparks/en/park-pages/AguaCaliente.html,Leashed dogs are allowed in campground areas; verify trail restrictions.,false
cuyamaca-rancho-state-park-julian,Cuyamaca Rancho State Park,Julian,CA,Campground,32.959500,-116.579600,"12551 CA-79, Descanso, CA 91916",https://www.parks.ca.gov,Dogs are allowed on leash in campgrounds and paved areas but not on trails.,false
vallecito-county-park-julian,Vallecito County Park,Julian,CA,Campground,32.974900,-116.350600,"37349 Great Southern Overland Stage Route, Julian, CA 92036",https://www.sdparks.org/content/sdparks/en/park-pages/Vallecito.html,Leashed dogs are allowed in campground areas.,false
william-heise-county-park-julian,William Heise County Park,Julian,CA,Campground,33.038200,-116.592000,"4945 Heise Park Rd, Julian, CA 92036",https://www.sdparks.org/content/sdparks/en/park-pages/WilliamHeise.html,Leashed dogs are allowed in campground and designated park areas.,true
volcan-mountain-wilderness-preserve-julian,Volcan Mountain Wilderness Preserve,Julian,CA,Trail,33.117800,-116.585200,"1209 Farmer Rd, Julian, CA 92036",https://www.sdparks.org/content/sdparks/en/park-pages/VolcanMountain.html,Leashed dogs are allowed on the preserve trail.,true
wagsdale-dog-park-ladera-ranch,Wagsdale Dog Park,Ladera Ranch,CA,Dog Park,33.551700,-117.635200,"Oso Grande Dr, Ladera Ranch, CA 92694",https://laderalife.com/,Community dog park with fenced play areas.,false
aliso-beach-park-laguna-beach,Aliso Beach Park,Laguna Beach,CA,Beach,33.510400,-117.752700,"31131 Coast Hwy, Laguna Beach, CA 92651",https://www.ocparks.com/parks-trails/aliso-beach,Leashed dogs are allowed subject to posted beach rules and seasonal limits.,false
crescent-bay-beach-laguna-beach,Crescent Bay Beach,Laguna Beach,CA,Beach,33.549900,-117.801500,"Crescent Bay Dr, Laguna Beach, CA 92651",https://www.lagunabeachcity.net/our-beaches/dogs-on-the-beach/,Leashed dogs are allowed with seasonal daytime restrictions.,false
main-beach-laguna-beach,Main Beach,Laguna Beach,CA,Beach,33.542500,-117.785400,"Broadway St and Pacific Coast Hwy, Laguna Beach, CA 92651",https://www.lagunabeachcity.net/our-beaches/dogs-on-the-beach/,Leashed dogs are allowed with seasonal daytime restrictions.,true
thousand-steps-beach-laguna-beach,Thousand Steps Beach,Laguna Beach,CA,Beach,33.498700,-117.741500,"9th Ave and Coast Hwy, Laguna Beach, CA 92651",https://www.lagunabeachcity.net/our-beaches/dogs-on-the-beach,Leashed dogs are allowed during Laguna Beach dog hours.,false
treasure-island-beach-laguna-beach,Treasure Island Beach,Laguna Beach,CA,Beach,33.516500,-117.760500,"Wesley Dr and Coast Hwy, Laguna Beach, CA 92651",https://www.lagunabeachcity.net/our-beaches/dogs-on-the-beach,Leashed dogs are allowed during Laguna Beach dog hours.,false
victoria-beach-laguna-beach,Victoria Beach,Laguna Beach,CA,Beach,33.520000,-117.765800,"Victoria Dr, Laguna Beach, CA 92651",https://www.lagunabeachcity.net/our-beaches/dogs-on-the-beach,Leashed dogs are allowed during Laguna Beach dog hours.,false
laguna-beach-dog-park-laguna-beach,Laguna Beach Dog Park,Laguna Beach,CA,Dog Park,33.591400,-117.762200,"20672 Laguna Canyon Rd, Laguna Beach, CA 92651",https://www.lagunabeachcity.net,Off-leash city dog park; beach dogs must remain leashed.,true
heisler-park-laguna-beach,Heisler Park,Laguna Beach,CA,Scenic Spot,33.545600,-117.795000,"375 Cliff Dr, Laguna Beach, CA 92651",https://www.lagunabeachcity.net,Leashed dogs are allowed in public park areas where posted.,true
laguna-coast-wilderness-park-laguna-beach,Laguna Coast Wilderness Park,Laguna Beach,CA,Trail,33.559300,-117.771500,"18751 Laguna Canyon Rd, Laguna Beach, CA 92651",https://www.ocparks.com/parks-trails/laguna-coast-wilderness-park,Dog access is limited; verify current trail rules before visiting.,false
laguna-niguel-pooch-park-laguna-niguel,Laguna Niguel Pooch Park,Laguna Niguel,CA,Dog Park,33.548300,-117.696400,"31461 Golden Lantern, Laguna Niguel, CA 92677",https://www.cityoflagunaniguel.org,Off-leash dog park listed by Orange County Animal Care.,false
laguna-niguel-regional-park-laguna-niguel,Laguna Niguel Regional Park,Laguna Niguel,CA,Lake,33.553800,-117.708000,"28241 La Paz Rd, Laguna Niguel, CA 92677",https://www.ocparks.com/parks-trails/laguna-niguel-regional-park/,Dogs are permitted on leash.,true
whiting-ranch-wilderness-park-lake-forest,Whiting Ranch Wilderness Park,Lake Forest,CA,Trail,33.682500,-117.627700,"27901 Glenn Ranch Rd, Trabuco Canyon, CA 92679",https://www.ocparks.com/parks-trails/whiting-ranch-wilderness-park,Leash rules and trail access can vary; verify before visiting.,false
alicia-pet-care-center-dog-park-mission-viejo,Alicia Pet Care Center Dog Park,Mission Viejo,CA,Dog Park,33.610700,-117.673200,"25800 Jeronimo Rd, Mission Viejo, CA 92691",,Private dog park resource; verify access before visiting.,false
newport-beach-dog-beach-newport-beach,Newport Beach Dog Beach,Newport Beach,CA,Beach,33.628100,-117.950300,"Seashore Dr and 74th St, Newport Beach, CA 92663",https://www.newportbeachca.gov/,Leashed dogs are commonly allowed near the Santa Ana River mouth; verify current rules.,true
rose-bakery-cafe-newport-beach,Rose Bakery Cafe,Newport Beach,CA,Coffee,33.598900,-117.872300,"3536 E Coast Hwy, Corona Del Mar, CA 92625",https://www.rosebakerycafe.net/,Dog-friendly outdoor seating is commonly reported.,false
newport-beach-civic-center-dog-park-newport-beach,Newport Beach Civic Center Dog Park,Newport Beach,CA,Dog Park,33.616200,-117.867400,"100 Civic Center Dr, Newport Beach, CA 92660",https://www.newportbeachca.gov/,Fenced dog park at the Civic Center.,true
upper-newport-bay-nature-preserve-newport-beach,Upper Newport Bay Nature Preserve,Newport Beach,CA,Park,33.653000,-117.890000,"2301 University Dr, Newport Beach, CA 92660",https://www.ocparks.com/parks-trails/upper-newport-bay-nature-preserve,Leashed dogs are allowed on designated roads and trails; protect habitat areas.,false
fashion-island-newport-beach,Fashion Island,Newport Beach,CA,Patio,33.615100,-117.875900,"401 Newport Center Dr, Newport Beach, CA 92660",https://www.fashionisland.com/,Outdoor shopping center with many dog-friendly common areas and patios.,true
rubys-shake-shack-crystal-cove-newport-beach,Rubys Shake Shack Crystal Cove,Newport Beach,CA,Restaurant,33.576400,-117.840300,"7703 E Coast Hwy, Newport Beach, CA 92657",https://www.rubysshakeshack.com/,Outdoor counter service with dog-friendly seating commonly reported.,true
crystal-cove-state-park-paved-bluff-path-newport-beach,Crystal Cove State Park Paved Bluff Path,Newport Beach,CA,Scenic Spot,33.573900,-117.839500,"8471 N Coast Hwy, Laguna Beach, CA 92651",https://www.parks.ca.gov/crystalcove,Dogs are allowed on paved areas only; not on beach or backcountry trails.,false
newport-back-bay-loop-newport-beach,Newport Back Bay Loop,Newport Beach,CA,Trail,33.646300,-117.893500,"2301 University Dr, Newport Beach, CA 92660",https://newportbay.org/,Leashed dogs are allowed on many paved and multi-use trail sections.,true
breakwater-brewing-company-oceanside,Breakwater Brewing Company,Oceanside,CA,Brewery,33.195900,-117.379400,"101 N Coast Hwy, Oceanside, CA 92054",https://www.breakwaterbrewing.com,Dog-friendly patio noted by Visit Oceanside.,false
craft-coast-beer-and-tacos-oceanside,Craft Coast Beer & Tacos,Oceanside,CA,Brewery,33.195300,-117.379200,"275 Mission Ave, Oceanside, CA 92054",https://craftcoast.co,Listed by Visit Oceanside as dog-friendly dining.,false
beach-break-cafe-oceanside,Beach Break Cafe,Oceanside,CA,Coffee,33.193200,-117.379600,"1802 S Coast Hwy, Oceanside, CA 92054",https://www.beachbreakcafe.com,Listed by Visit Oceanside as dog-friendly dining.,false
guajome-regional-park-oceanside,Guajome Regional Park,Oceanside,CA,Park,33.254600,-117.274500,"3000 Guajome Lake Rd, Oceanside, CA 92057",https://www.sdparks.org/content/sdparks/en/park-pages/Guajome.html/,County park with ponds and on-leash dog access.,false
local-tap-house-and-kitchen-oceanside,Local Tap House & Kitchen,Oceanside,CA,Restaurant,33.196800,-117.379200,"308 S Coast Hwy, Oceanside, CA 92054",https://www.localtaphouse.com,Dog-friendly patio noted by Visit Oceanside.,false
green-cheek-beer-company-orange-orange,Green Cheek Beer Company Orange,Orange,CA,Brewery,33.785300,-117.891200,"2294 N Batavia St, Orange, CA 92865",https://www.greencheekbeer.com/,Dog-friendly outdoor seating is commonly reported.,false
eisenhower-dog-park-orange,Eisenhower Dog Park,Orange,CA,Dog Park,33.828000,-117.818700,"2864 N Tustin St, Orange, CA 92865",https://www.cityoforange.org/,Shaded dog park area; verify leash and off-leash rules.,false
orange-dog-park-orange,Orange Dog Park,Orange,CA,Dog Park,33.789200,-117.821600,"190 S Yorba St, Orange, CA 92869",https://www.cityoforange.org/,Fenced off-leash dog park with separate dog areas.,false
irvine-regional-park-orange,Irvine Regional Park,Orange,CA,Park,33.796800,-117.758100,"1 Irvine Park Rd, Orange, CA 92869",https://www.ocparks.com/parks-trails/irvine-regional-park/,Regional park with on-leash dog access in permitted areas.,false
haven-craft-kitchen-and-bar-orange,Haven Craft Kitchen and Bar,Orange,CA,Restaurant,33.788200,-117.853100,"190 S Glassell St, Orange, CA 92866",https://www.havencraftkitchen.com/,Dog-friendly patio seating is commonly reported.,false
lazy-dog-restaurant-orange-orange,Lazy Dog Restaurant Orange,Orange,CA,Restaurant,33.783700,-117.894100,"1623 W Katella Ave, Orange, CA 92867",https://www.lazydogrestaurants.com/,Dog-friendly patio seating at many locations; verify current patio rules.,false
peters-canyon-regional-park-orange,Peters Canyon Regional Park,Orange,CA,Trail,33.790400,-117.773700,"8548 E Canyon View Ave, Orange, CA 92869",https://www.ocparks.com/parks-trails/peters-canyon-regional-park/,Regional trail park; dogs should remain on leash where permitted.,false
santa-ana-river-trail-orange-county-orange,Santa Ana River Trail Orange County,Orange,CA,Trail,33.788000,-117.880000,"Santa Ana River Trail, Orange, CA 92868",https://www.octa.net/getting-around/bike/bike-safety/santa-ana-river-trail/,Leashed multi-use trail with multiple access points.,false
santiago-oaks-regional-park-orange,Santiago Oaks Regional Park,Orange,CA,Trail,33.811900,-117.767800,"2145 N Windes Dr, Orange, CA 92869",https://www.ocparks.com/santiagooaks/,Regional trail park with multi-use trails; verify dog rules before visiting.,false
lake-poway-recreation-area-poway,Lake Poway Recreation Area,Poway,CA,Lake,33.011100,-117.012000,"14644 Lake Poway Rd, Poway, CA 92064",https://poway.org/401/Lake-Poway,Leashed dogs are allowed in designated areas; check lake rules.,false
blue-sky-ecological-reserve-poway,Blue Sky Ecological Reserve,Poway,CA,Trail,33.019600,-117.020700,"16275 Espola Rd, Poway, CA 92064",https://poway.org/,Leashed dogs are allowed on designated trails.,false
iron-mountain-trail-poway,Iron Mountain Trail,Poway,CA,Trail,32.978400,-116.972000,"14847-14909 CA-67, Poway, CA 92064",https://poway.org/,Leashed dogs are allowed; bring water and avoid hot days.,true
dos-picos-county-park-ramona,Dos Picos County Park,Ramona,CA,Campground,33.010700,-116.944200,"17953 Dos Picos Park Rd, Ramona, CA 92065",https://www.sdparks.org/content/sdparks/en/park-pages/DosPicos.html/,County park campground where dogs are generally allowed on leash.,false
san-onofre-state-beach-trail-1-san-clemente,San Onofre State Beach Trail 1,San Clemente,CA,Beach,33.380700,-117.574200,"Old Pacific Hwy, San Clemente, CA 92672",https://www.parks.ca.gov/?page_id=647,Dogs are allowed in designated areas only; verify current state park pet rules.,false
san-clemente-dog-park-san-clemente,San Clemente Dog Park,San Clemente,CA,Dog Park,33.454800,-117.608600,"310 Avenida La Pata, San Clemente, CA 92673",https://www.san-clemente.org,Off-leash dog park listed by Orange County Animal Care.,false
san-clemente-beach-trail-san-clemente,San Clemente Beach Trail,San Clemente,CA,Trail,33.426900,-117.616500,"San Clemente Pier, San Clemente, CA 92672",https://www.san-clemente.org/,Leashed coastal trail with beach access points; check beach dog restrictions.,true
dog-beach-ocean-beach-san-diego,Dog Beach Ocean Beach,San Diego,CA,Beach,32.755000,-117.251000,"5156 W Point Loma Blvd, San Diego, CA 92107",https://www.sandiego.gov/park-and-recreation/parks/dogs/bchdog/,Off-leash beach area at the foot of Voltaire Street.,true
fiesta-island-san-diego,Fiesta Island,San Diego,CA,Beach,32.773300,-117.217700,"1590 E Mission Bay Dr, San Diego, CA 92109",https://www.sandiego.gov/park-and-recreation/parks/dogs/bchdog/,Large off-leash area with bay access and a loop road.,true
la-jolla-shores-beach-san-diego,La Jolla Shores Beach,San Diego,CA,Beach,32.850700,-117.272900,"8300 Camino Del Oro, La Jolla, CA 92037",https://www.sandiego.gov/park-and-recreation/parks/regional/shoreline/lajolla,Dogs are allowed during city beach dog hours unless posted otherwise.,false
tourmaline-surfing-park-san-diego,Tourmaline Surfing Park,San Diego,CA,Beach,32.805600,-117.260200,"Tourmaline St, San Diego, CA 92109",https://www.sandiego.gov/park-and-recreation/parks/regional/shoreline,Dogs are allowed during city beach dog hours unless posted otherwise.,false
alesmith-brewing-company-san-diego,AleSmith Brewing Company,San Diego,CA,Brewery,32.888200,-117.149500,"9990 AleSmith Ct, San Diego, CA 92126",https://alesmith.com/,Dog-friendly outdoor area is commonly reported; verify current rules.,false
ballast-point-miramar-san-diego,Ballast Point Miramar,San Diego,CA,Brewery,32.887700,-117.157900,"9045 Carroll Way, San Diego, CA 92121",https://ballastpoint.com/location/miramar/,Dog-friendly outdoor seating is commonly available; verify current patio rules.,false
belching-beaver-north-park-san-diego,Belching Beaver North Park,San Diego,CA,Brewery,32.747000,-117.129200,"4223 30th St, San Diego, CA 92104",https://belchingbeaver.com/,Dog-friendly patio is commonly reported; verify current rules.,false
duck-foot-brewing-company-san-diego,Duck Foot Brewing Company,San Diego,CA,Brewery,32.896800,-117.137000,"8920 Kenamar Dr, San Diego, CA 92121",https://duckfootbeer.com/,Dog-friendly brewery seating is commonly reported; verify current rules.,false
eppig-brewing-waterfront-biergarten-san-diego,Eppig Brewing Waterfront Biergarten,San Diego,CA,Brewery,32.724800,-117.227900,"2817 Dickens St, San Diego, CA 92106",https://www.eppigbrewing.com/,Dog-friendly outdoor biergarten with harbor views.,false
mike-hess-brewing-north-park-san-diego,Mike Hess Brewing North Park,San Diego,CA,Brewery,32.747500,-117.129200,"3812 Grim Ave, San Diego, CA 92104",https://www.mikehessbrewing.com,All locations are described as family- and dog-friendly.,false
