🐾 PawStreak Content Library — Master Asset Catalog,,,,,,,,,,,,,,,,,
ID,Date,Category,Description,Dogs Featured,Location,Media Type,Duration,Emotional Category,Platform Rec,Account Rec,Caption Angle,Hook Idea,Priority (1-10),Album Tags,Season,Hidden Gem?,Notes
T005,2024-09,Trail,"Bailey at creek crossing, paws in water",Bailey,Angeles National Forest,Video,0:20,Adventure / Joy,Reels,@BaileyHuskeyCream,She stopped for a snack (it was creek water),Hydration check: ✓,7,"Trail, Water",Fall,No,Cute/funny overlay potential
C001,2025-01,Cozy,"Both dogs on couch, perfectly stacked",Bailey + Omi,"Home, San Diego",Photo,—,Comfort / Together,"Stories, Instagram",@BaileyHuskeyCream,The couch was designed for two dogs,They claimed it in 2020. We never got it back.,8,"Cozy, Both Dogs",Winter,No,Relatable dog parent content
C002,2025-01,Cozy,"Bailey asleep in sun patch, completely relaxed",Bailey,"Home, San Diego",Photo,—,Peace / Rest,Stories,@BaileyHuskeyCream,Recharge day,Even adventure dogs need rest,7,Cozy,Winter,No,Good for rest day / mental health content
C003,2025-01,Cozy,"Omi's close-up sleeping face, gray muzzle visible",Omi,"Home, San Diego",Photo,—,Love / Aging / Tender,"Stories, Instagram",@BaileyHuskeyCream,Count the gray hairs,Each one is a year she chose us,10,"Cozy, Senior Dogs",Winter,No,TOP emotional anchor — senior dog community
C004,2025-02,Cozy,"Both dogs on Idaho VRBO couch, road trip stop",Bailey + Omi,Idaho VRBO,Photo,—,Road Trip / Cozy,"Instagram, Stories",Both accounts,Best co-pilots ever,We found the most dog-friendly VRBO in Idaho and stayed two nights,9,"Cozy, Idaho, Road Trip",Winter,Yes,Hidden gem — road trip + cozy narrative
C005,2025-01,Cozy,"Dog paws in lap, Stephen watching TV",Bailey,"Home, San Diego",Photo,—,Human-Dog Bond,"Stories, Founder",@PawStreakApp,"Every evening, same spot",This is the moment I started designing PawStreak,9,"Cozy, Founder Story",Winter,No,Powerful founder origin story
C006,2025-01,Cozy,"Morning light, Bailey at window looking out",Bailey,"Home, San Diego",Photo,—,Calm / Anticipation,Instagram,@BaileyHuskeyCream,She watches the world wake up every morning,I think she's planning something,7,"Cozy, Morning",Winter,No,Clean aesthetic
I001,2025-02,Idaho Adventure,"Full Idaho road trip arc — driving, landscapes, both dogs",Bailey + Omi,Idaho / Southwest Road Trip,Video / Mixed,2:00+,Epic / Journey / Adventure,"Reels (multi), TikTok",Both accounts,"2,000 miles. 2 dogs. 1 road trip.","We loaded the car, pointed north, and let the dogs lead",10,"Idaho, Road Trip, Launch Week",Winter,No,ANCHOR CONTENT — build mini-doc series from this
I002,2025-02,Idaho Adventure,"Idaho landscape — snow-covered mountains, open road",—,Southern Idaho,Photo,—,Cinematic / Scale,Instagram,@PawStreakApp,The world is bigger than your backyard,PawStreak was born on a road like this,8,"Idaho, Landscape, Brand",Winter,Yes,Hidden gem — stunning backdrop for brand storytelling
I003,2025-02,Idaho Adventure,"Both dogs exploring Idaho town/trail, first arrival",Bailey + Omi,"Boise area, Idaho",Video,0:30,Discovery / Adventure,Reels,@BaileyHuskeyCream,They knew we were somewhere new immediately,New smells. New trails. Same two dogs. Same magic.,9,"Idaho, Both Dogs, Adventure",Winter,No,Discovery moment — great for 'we're here!' style post
P001,2025-05,PawStreak Brand,PawStreak app icon / logo on phone screen,—,—,Photo,—,Product / Brand,All platforms,@PawStreakApp,"Your dog's adventures, remembered forever",PawStreak is launching. Be part of the first chapter.,9,"PawStreak Brand, Launch",—,No,App store screenshot or mockup
P002,2025-05,PawStreak Brand,Map view of logged adventures in PawStreak,—,—,Screenshot,—,Product Demo,"Instagram, Stories",@PawStreakApp,Every walk. Every trail. Every beach day. Mapped.,This is what a year of adventures looks like,8,"PawStreak Brand, Product",—,No,Core app feature showcase
P003,2025-05,PawStreak Brand,Memory card generated by PawStreak from real photo,Bailey,—,Screenshot + Photo,—,Product Demo / Emotional,"Reels, Stories",@PawStreakApp,PawStreak turned this moment into a memory,She ran this trail 23 times. PawStreak remembers every one.,9,"PawStreak Brand, Product, Launch Week",—,No,Hero product demo — emotional + functional
SD001,2024-06,San Diego,"Balboa Park with both dogs, spring afternoon",Bailey + Omi,"Balboa Park, SD",Photo,—,City Adventure / Together,Instagram,@BaileyHuskeyCream,Our city. Their trails.,San Diego has 200+ miles of dog trails. We've done most of them.,7,"San Diego, Both Dogs",Spring,No,Local community content
SD002,2024-10,San Diego,Sunset at Cabrillo Monument with Bailey,Bailey,"Point Loma, SD",Photo,—,Beautiful / Reflective,Instagram,@BaileyHuskeyCream,The best view in San Diego costs $0 if you know a dog,She's been here 12 times. She brought me 12 times.,8,"San Diego, Sunset",Fall,No,Strong aesthetic post
SD003,2024-05,San Diego,"Mission Trails hike, early morning, both dogs",Bailey + Omi,Mission Trails Regional Park,Video,0:25,Adventure / Morning Energy,Reels,@BaileyHuskeyCream,6am club (they didn't give us a choice),Omi and Bailey have a strict 'sunrise hike' policy,7,"San Diego, Trail, Both Dogs, Morning",Spring,No,Relatable morning routine content
